Timestamp,Source IP,Destination IP,Hostname,Protocol,Port
2025-10-21 13:00:59,156.143.60.181,17.253.7.65,usatl4-edge-get-001.a.aaplimg.com,Other,
2025-10-21 13:00:59,156.143.60.181,17.253.7.65,usatl4-edge-get-001.a.aaplimg.com,Other,
2025-10-21 13:00:59,0.0.0.0,255.255.255.255,broadcasthost,UDP,67
2025-10-21 13:01:00,156.143.60.181,10.1.16.2,Unknown,TCP,80
2025-10-21 13:01:00,156.143.61.162,156.143.63.255,Unknown,UDP,57621
2025-10-21 13:01:00,17.253.7.65,156.143.60.181,Unknown,UDP,53826
2025-10-21 13:01:00,17.253.7.65,156.143.60.181,Unknown,UDP,53826
2025-10-21 13:01:00,156.143.60.181,17.253.7.65,usatl4-edge-get-001.a.aaplimg.com,Other,
2025-10-21 13:01:00,156.143.60.181,17.253.7.65,usatl4-edge-get-001.a.aaplimg.com,Other,
2025-10-21 13:01:00,0.0.0.0,255.255.255.255,broadcasthost,UDP,67
2025-10-21 13:01:00,0.0.0.0,255.255.255.255,broadcasthost,UDP,67
2025-10-21 13:01:01,0.0.0.0,255.255.255.255,broadcasthost,UDP,67
2025-10-21 13:01:01,0.0.0.0,255.255.255.255,broadcasthost,UDP,67
2025-10-21 13:01:02,0.0.0.0,255.255.255.255,broadcasthost,UDP,67
2025-10-21 13:01:02,17.253.7.65,156.143.60.181,Unknown,UDP,53826
2025-10-21 13:01:02,17.253.7.65,156.143.60.181,Unknown,UDP,53826
2025-10-21 13:01:02,156.143.60.181,17.253.7.65,usatl4-edge-get-001.a.aaplimg.com,Other,
2025-10-21 13:01:02,156.143.60.181,17.253.7.65,usatl4-edge-get-001.a.aaplimg.com,Other,
2025-10-21 13:01:02,0.0.0.0,255.255.255.255,broadcasthost,UDP,67
2025-10-21 13:01:02,0.0.0.0,255.255.255.255,broadcasthost,UDP,67
2025-10-21 13:01:02,0.0.0.0,255.255.255.255,broadcasthost,UDP,67
2025-10-21 13:01:03,0.0.0.0,255.255.255.255,broadcasthost,UDP,67
2025-10-21 13:01:03,0.0.0.0,255.255.255.255,broadcasthost,UDP,67
2025-10-21 13:01:03,0.0.0.0,255.255.255.255,broadcasthost,UDP,67
2025-10-21 13:01:04,0.0.0.0,255.255.255.255,broadcasthost,UDP,67
2025-10-21 13:01:05,0.0.0.0,255.255.255.255,broadcasthost,UDP,67
2025-10-21 13:01:06,0.0.0.0,255.255.255.255,broadcasthost,UDP,67
2025-10-21 13:01:06,0.0.0.0,255.255.255.255,broadcasthost,UDP,67
2025-10-21 13:01:06,17.253.7.65,156.143.60.181,Unknown,UDP,53826
2025-10-21 13:01:06,17.253.7.65,156.143.60.181,Unknown,UDP,53826
2025-10-21 13:01:06,156.143.60.181,17.253.7.65,usatl4-edge-get-001.a.aaplimg.com,Other,
2025-10-21 13:01:06,156.143.60.181,17.253.7.65,usatl4-edge-get-001.a.aaplimg.com,Other,
2025-10-21 13:01:07,0.0.0.0,255.255.255.255,broadcasthost,UDP,67
2025-10-21 13:01:07,0.0.0.0,255.255.255.255,broadcasthost,UDP,67
2025-10-21 13:01:07,156.143.48.8,255.255.255.255,broadcasthost,UDP,68
2025-10-21 13:01:07,0.0.0.0,255.255.255.255,broadcasthost,UDP,67
2025-10-21 13:01:09,0.0.0.0,255.255.255.255,broadcasthost,UDP,67
2025-10-21 13:01:10,0.0.0.0,255.255.255.255,broadcasthost,UDP,67
2025-10-21 13:01:10,0.0.0.0,255.255.255.255,broadcasthost,UDP,67
